Country,WHO region,ISO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,post vaccination,,,,,,,,,,,,number of carriers prevented ('000s),,,,,,,,,pre vaccination,,,,,,post vaccination,,,,,Difference,
,,,Year,< 5 years,,,< 5 years,,,General population,,,General population,,,< 5 years,Lower CI,Upper CI,General population,Lower CI,Upper CI,,,,Total pop,,,,,,Total Pop,,,,,,
,,,,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers,Lower CI,Upper CI,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI,,,,,,,,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers,Lower CI,Upper CI,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI
,,,,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Costa Rica,PAHO,CRI,2020,0.02,0.01,0.03,0.1,0,0.1,0.43,0.22,0.78,20.5,10.6,37.2,1.8,0.9,3.3,8.6,4.6,15.4,,0.6,0.32,1.09,30.8,16.1,55.6,0.4,0.21,0.73,20.6,10.6,37.3,10.2,5.5,18.5
Cuba,PAHO,CUB,2020,0.03,0.01,0.05,0.2,0.1,0.3,0.81,0.38,1.5,87.3,40.8,161.5,6.2,2.8,11.5,52.3,24.4,97.2,,1.28,0.6,2.37,144.7,67.5,268.9,0.77,0.36,1.43,87.5,40.8,161.8,58.2,27.2,107.6
Dominica,PAHO,DMA,2020,0.2,0.06,0.6,0,0,0,1.64,0.52,4.65,1.1,0.3,3.1,0.1,0,0.2,0.2,0.1,0.5,,1.77,0.57,5.05,1.3,0.4,3.6,1.54,0.49,4.38,1.1,0.4,3.1,0.2,0.1,0.5
Dominican Republic,PAHO,DOM,2020,0.1,0.03,0.37,1,0.3,3.7,1.38,0.42,4.81,136.2,41.2,473.4,15.5,4.7,54.4,55.2,16.7,183.9,,1.89,0.57,6.51,205.4,61.7,706.2,1.26,0.38,4.4,137.2,41.5,477.4,68.3,20.6,229.4
Ecuador,PAHO,ECU,2020,0.09,0.03,0.33,1.6,0.4,5.6,1.56,0.46,5.39,250,72.8,861.8,26.5,7.6,90.1,68.3,19.5,231.6,,1.92,0.55,6.56,338.4,97.7,1157.9,1.43,0.42,4.92,251.5,73.4,867.3,86.2,25,290.6
El Salvador,PAHO,SLV,2020,0.02,0.01,0.07,0.1,0.1,0.4,0.4,0.15,1.09,23.8,9,64.6,2.3,0.9,6.4,6.9,2.6,18.8,,0.5,0.19,1.35,32.3,12.3,87.6,0.37,0.14,1,23.9,9,64.9,8.3,3.2,22.6
Grenada,PAHO,GRD,2020,0.12,0.04,0.42,0,0,0,1.31,0.41,4.54,1.4,0.4,4.7,0.1,0,0.4,0.3,0.1,1.1,,1.57,0.48,5.46,1.8,0.5,6.1,1.22,0.38,4.2,1.4,0.4,4.7,0.4,0.1,1.3
Guatemala,PAHO,GTM,2020,0.03,0.02,0.04,0.7,0.5,0.9,0.27,0.19,0.37,42.2,29.8,58.6,5.2,3.6,7.2,11.7,8.2,16.3,,0.32,0.23,0.44,57.4,40.7,79.6,0.24,0.17,0.33,42.9,30.3,59.4,14.5,10.2,20
Guyana,PAHO,GUY,2020,0.4,0.07,2.11,0.3,0.1,1.6,2.27,0.44,10.74,16.2,3.1,76.5,1.5,0.3,7,4.5,0.9,20.9,,2.77,0.53,13.04,21.8,4.2,102.6,2.09,0.4,9.93,16.4,3.2,78.1,5.4,1,24.8
Haiti,PAHO,HTI,2020,1.04,0.75,1.41,13.2,9.5,17.8,3.57,2.64,4.65,362.3,267.7,471.6,26,18.9,34.4,79.8,58.2,105.5,,3.52,2.6,4.57,401.8,296,520.9,3.29,2.43,4.28,375.6,277.1,488.4,26,18.9,34.4
